,QUARANTÄNE_BESCHRÄNKUNG,GRUPPENLIMITIERUNG,SCHULE,ARBEIT,LÄDEN,REISEBESCHRÄNKUNG,TESTING,RATE
0,0,1000000,0,0,0,0,116.7,1.2523364485981308
1,0,1000000,0,0,0,0,116.8,1.257462686567164
2,0,1000000,0,0,0,0,116.9,1.1097922848664687
3,0,1000,0,0,0,0,116.1,1.3128342245989304
4,0,1000,0,0,0,0,116.11,1.3279022403258656
5,0,1000,0,0,0,0,292.0,1.0
6,0,1000,0,0,0,0,292.0,1.7469325153374233
7,0,1000,0,0,0,0,292.0,1.1931518876207199
8,0,1000,0,0,0,0,292.0,1.6188373804267844
9,0,1000,0,0,0,0,292.0,1.0
10,0,1000,0,1,0,0,292.0,1.2272727272727273
11,0,1000,0,1,0,0,292.0,1.1214814814814815
12,0,1000,0,1,0,0,292.0,1.345772787318362
13,0,1000,0,1,0,0,292.0,1.2991411042944785
14,0,1000,0,1,0,0,292.0,1.241972043823196
15,0,1000,0,1,0,0,292.0,1.1367300380228136
16,0,1000,0,1,0,0,292.0,1.1767460529836768
17,0,100,2,1,0,0,292.0,1.1230244457077885
18,0,100,2,1,0,0,292.0,1.1032702237521514
19,0,100,2,1,0,0,292.0,1.0838762962283197
20,0,100,2,1,2,1,292.0,1.0945728558123784
21,1,100,2,1,2,1,292.0,1.0945728558123784
22,0.0,1000000,0.0,0.0,0.0,0.0,1.0,1.0
23,0.0,1000000,0.0,0.0,0.0,0.0,1.0,1.375
24,0.0,1000000,0.0,0.0,0.0,0.0,1.0,1.0
25,0.0,1000000,0.0,0.0,0.0,0.0,1.0,1.0
26,0.0,1000000,0.0,0.0,0.0,0.0,1.0,1.0
27,0.0,1000000,0.0,0.0,0.0,0.0,1.0,1.0
28,0.0,1000000,0.0,0.0,0.0,0.0,1.0,1.0
29,0.0,1000000,0.0,0.0,0.0,0.0,1.0,1.0
30,0.0,1000000,0.0,0.0,0.0,0.0,1.0,1.0
31,0.0,1000000,0.0,0.0,0.0,1.0,1.0,1.0909090909090908
32,0.0,1000000,0.0,0.0,0.0,1.0,1.0,1.0
33,0.0,1000000,0.0,0.0,0.0,1.0,1.0,1.0833333333333333
34,0.0,1000000,0.0,0.0,0.0,1.0,1.0,1.0
35,0.0,1000000,0.0,0.0,0.0,1.0,1.0,1.0
36,0.0,1000000,0.0,0.0,0.0,1.0,1.0,1.0
37,0.0,1000000,0.0,0.0,0.0,1.0,1.0,1.0
38,0.0,1000000,0.0,0.0,0.0,1.0,1.0,1.0
39,0.0,1000000,0.0,0.0,0.0,1.0,1.0,1.0
40,0.0,1000000,0.0,0.0,0.0,1.0,1.0,1.0
41,0.0,1000000,0.0,0.0,0.0,1.0,1.0,1.1538461538461537
42,0.0,1000000,0.0,0.0,0.0,1.0,1.0,1.0
43,0.0,1000000,0.0,0.0,0.0,1.0,1.0,1.0
44,0.0,1000000,0.0,0.0,0.0,1.0,1.0,3.4
45,0.0,1000000,0.0,0.0,0.0,1.0,1.0,1.0
