QUARANTÄNE_BESCHRÄNKUNG,GRUPPENLIMITIERUNG,SCHULE,ARBEIT,LÄDEN,REISEBESCHRÄNKUNG,TESTING
0,1000000,0,0,0,0,116.7
0,1000000,0,0,0,0,116.8
0,1000000,0,0,0,0,116.9
0,1000,0,0,0,0,116.10
0,1000,0,0,0,0,116.11
0,1000,0,0,0,0,292
0,1000,0,0,0,0,292
0,1000,0,0,0,0,292
0,1000,0,0,0,0,292
0,1000,0,0,0,0,292
0,1000,0,1,0,0,292
0,1000,0,1,0,0,292
0,1000,0,1,0,0,292
0,1000,0,1,0,0,292
0,1000,0,1,0,0,292
0,1000,0,1,0,0,292
0,1000,0,1,0,0,292
0,100,2,1,0,0,292
0,100,2,1,0,0,292
0,100,2,1,0,0,292
0,100,2,1,2,1,292
1,100,2,1,2,1,292
1,100,2,1,2,1,292
1,100,2,1,2,1,292
1,5,2,1,2,1,292
1,5,2,1,2,1,820
1,5,2,1,2,1,820
1,5,2,1,2,1,820
1,5,2,1,2,1,820
1,5,2,1,2,2,820
1,5,2,1,2,2,820
1,5,2,1,2,2,820
