QUARANTÄNE_BESCHRÄNKUNG,GRUPPENLIMITIERUNG,SCHULE,ARBEIT,LÄDEN,REISEBESCHRÄNKUNG,TESTING
1,100,1,0,1,0,200
1,100,1,0,1,0.5,200
2,5,2,2,1,1.5,200
2,5,2,2,1,1.5,200
2,5,2,2,1,1.5,200
2,5,2,2,1,1.5,200
2,5,2,2,1,1.5,200
2,5,2,2,1,1.5,200
2,5,2,2,1,1.5,200
2,5,2,2,1,1.5,200
2,5,2,2,2,2,200
2,5,2,2,2,2,200
2,5,2,2,2,2,200
2,5,2,2,2,2,200
2,5,2,2,2,2,200
2,5,2,2,2,2,200
2,5,2,2,2,2,200
2,5,2,2,2,2,200
2,5,2,2,2,2,200
2,5,2,2,2,2,200
2,5,2,2,2,2,200
2,5,2,2,2,2,200
2,5,2,2,2,2,200
2,5,2,2,2,2,200
2,5,2,2,2,2,200
2,5,2,2,2,2,200
2,5,2,2,2,2,200
2,5,2,2,2,2,200
2,5,2,2,2,2,200
2,5,2,2,2,2,200
2,5,2,2,2,2,200
2,5,2,2,2,2,200
2,5,2,2,2,2,200
2,5,2,2,2,2,200
2,5,2,2,2,2,200
2,5,2,2,2,2,200
2,5,2,2,2,2,200
2,5,2,2,2,2,200
2,5,2,2,2,2,200
2,5,2,2,2,2,200
2,5,2,2,2,2,200
2,5,2,2,2,2,200
2,5,2,2,2,2,200
2,5,2,2,2,2,200
2,5,2,2,2,2,200
2,5,2,2,2,2,200
2,5,2,2,2,2,200
2,5,2,2,2,2,200
2,5,2,2,2,2,200
2,5,2,2,2,2,200
2,5,2,2,2,2,200
2,5,2,2,2,2,200
2,5,2,2,2,2,200
2,5,2,2,2,2,200
2,5,2,2,2,2,200
2,5,2,2,2,2,200
2,5,2,2,2,2,200
2,5,2,2,2,2,200
2,5,2,2,2,2,200
2,5,2,1.5,1,2,200
2,5,2,1.5,1,2,200
2,5,2,1.5,1,2,200
2,5,2,1.5,1,2,200
1,100,2,1.5,1,1.5,200
1,100,2,1.5,1,1.5,200
1,100,2,1.5,1,1.5,200
