QUARANTÄNE_BESCHRÄNKUNG,GRUPPENLIMITIERUNG,SCHULE,ARBEIT,LÄDEN,REISEBESCHRÄNKUNG,TESTING
1,1000000,1,0,0,1,50
1,1000000,1,0,0,1,100
1,1000000,1,0,0,1,100
1,1000000,1,0,0,1,100
1,1000000,1,0,0,1,100
1,1000000,1,0,0,1,100
1,1000000,1,0,0,1,150
1,1000000,1,0,0,1,150
1,1000000,1,0,0,1,150
1,1000000,1,0,0,1,150
1,1000000,1,0,0,1,150
1,1000000,1,0,0,1,180
1,1000000,1,0,0,1,180
1,1000000,1,0,0,1,180
1,1000000,1,0,0,1,180
1,1000000,1,0,0,1,180
1,1000000,1,0,0,1,180
1,1000000,1,0,0,1,180
1,1000000,1,0,0,1,180
1,1000000,1,0,0,1,180
1,1000000,1,0,0,1,180
1,1000000,1,0,0,1,180
1,1000000,1,0,0,1,180
1,1000000,1,0,0,1,180
1,1000000,1,0,0,1,180
1,1000000,1,0,0,1,180
1,1000000,1,0,0,1,180
1,1000000,1,0,0,1,180
1,1000000,1,0,0,1,180
1,1000000,1,0,0,1,180
1,100,1,0,1.5,1,220
1,100,1,0,1.5,1,220
1,100,1,0,2,1,220
1,100,2,0,2,1,220
1,100,2,0,2,1,220
1,100,2,0,2,1,220
1,100,2,0,2,1,220
1,5,2,0,2,1,220
2,5,2,1,2,1,220
2,5,2,1,2,2,220
2,5,2,1,2,2,220
2,5,2,1,2,2,330
2,5,2,1,2,2,330
2,5,2,1,2,2,330
2,5,2,1,2,2,330
2,5,2,1,2,2,330
2,5,2,1,2,2,330
2,5,2,1,2,2,330
2,5,2,1,2,2,330
2,5,2,1,2,2,330
2,5,2,1,2,2,330
2,5,2,1,2,2,330
2,5,2,1,2,2,330
2,5,2,1,2,2,330
2,5,2,1,2,2,330
2,5,2,1,2,2,330
2,5,2,1,2,2,330
