QUARANTÄNE_BESCHRÄNKUNG,GRUPPENLIMITIERUNG,SCHULE,ARBEIT,LÄDEN,REISEBESCHRÄNKUNG,TESTING
0.5,1000000,0,0,0.75,1,100
0.5,1000000,0,0,0.75,1,100
0.5,1000000,0,0,0.75,1,100
0.5,1000000,0,0,0.75,1,100
0.5,1000000,2,1,0.75,1,100
0.5,1000000,2,1,0.75,1,100
0.5,1000000,2,1,0.75,1,100
0.5,1000000,2,1,0.75,1,100
0.5,1000000,2,1,0.75,1,100
1,1000000,2,1,0.75,1,100
1,1000,2,1,0.75,1,100
1,1000,2,1,0.75,1,100
1,1000,2,1,0.75,1.5,100
1,1000,2,1,0.75,1.5,100
1,1000,2,1,0.75,1.5,100
1,1000,2,1,0.75,1.5,100
1,1000,2,1,0.75,1.5,100
1,1000,2,1,0.75,1.5,100
1,1000,2,1,0.75,1.5,100
1,1000,2,1,0.75,1.5,100
1,1000,2,1,0.75,1.5,100
1,1000,2,1,0.75,1.5,100
1,1000,2,1,0.75,1.5,100
1,1000,2,1,0.75,1.5,100
1,1000,2,1,0.75,1.5,100
1,1000,2,1,0.75,1.5,100
1,1000,2,1,0.75,1.5,100
1,1000,2,1,0.75,1.5,100
1,1000,2,1,0.75,1.5,100
1,1000,2,1,0.75,1.5,100
1,1000,2,1,0.75,1.5,100
1,1000,2,1,0.75,1.5,100
1,1000,2,1,0.75,1.5,100
1,1000,2,1,0.75,1.5,100
1,1000,2,1,0.75,1.5,100
1,1000,2,1,0.75,1.5,100
1,250,2,1,0.75,1.5,100
1,250,2,1,0.75,1.5,100
1,250,2,1,0.75,1.5,100
1,250,2,1,0.75,1.5,100
1,250,2,1,0.75,1.5,100
1,250,2,1,0.75,1.5,100
1,250,2,1,0.75,1.5,100
1,250,2,1,0.75,1.5,100
1,250,2,1,0.75,1.5,100
1,250,2,1,0.75,1.5,100
1,250,2,1,0.75,1.5,100
1,250,2,1,0.75,1.5,100
1,250,2,1,0.75,1.5,100
1,250,2,1,0.75,1.5,100
1,250,2,1,0.75,1.5,100
1,250,2,1,0.75,1.5,100
1,250,2,1,0.75,1.5,100
2,250,2,1.5,0.75,1.5,100
2,250,2,1.5,0.75,1.5,100
2,250,2,1.5,0.75,1.5,100
2,250,2,1.5,0.75,1.5,100
2,250,2,1.5,0.75,1.5,100
2,250,2,2.5,0.75,1.5,100
2,250,2,1.5,0.75,1.5,100
2,250,2,1.5,0.75,1.5,100
2,10,2,3.5,0.75,1.5,100
2,10,2,1.5,0.75,1.5,100
2,10,2,1.5,0.75,1.5,100
2,10,2,4.5,0.75,1.5,100
