QUARANTÄNE_BESCHRÄNKUNG,GRUPPENLIMITIERUNG,SCHULE,ARBEIT,LÄDEN,REISEBESCHRÄNKUNG,TESTING
0,1000000,0,0,0,0,0
0,1000000,0,0,0,0,0
0,1000000,0,0,0,0,0
0,1000000,0,0,0,0,0
0,1000000,0,0,0,0,0
0,1000000,0,0,0,0,0
0,1000000,0,0,0,0,0
0,1000000,0,0,0,0,0
0,1000000,0,0,0,0,0
0,1000000,0,0,0,0,0
0,1000000,0,0,0,0,0
0,1000000,0,0,0,0,0
0,1000000,0,0,0,0,0
0,1000000,0,0,0,0,0
0,1000000,0,0,0,0,22
0,1000000,0,0,0,0,22
0,1000000,0,0,0,0,22
0,1000000,0,0,0,0,22
0,1000000,0,0,0,0,22
0,1000000,0,0,0,0,22
0,1000000,0,0,0,0,22
0,1000000,0,0,0,0,22
0,1000000,0,0,0,0,22
0,1000000,0,0,0,0,22
0,1000000,0,0,0,0,22
0,1000000,0,0,0,0,22
0,1000000,0,0,0,0,22
0,1000000,0,0,0,0,22
1,1000000,1,1,2,1,22
1,1000000,1,1,2,1,22
1,1000000,1,1,2,1,22
1,1000000,1,1,2,1,22
1,1000000,1,1,2,1,22
1,1000000,1,1,2,1,22
1,1000000,1,1,2,1,22
1,1000000,1,1,2,1,22
1,1000000,1,1,2,1,22
1,1000000,1,1,2,1,22
1,1000,2,2,2,1,22
1,1000,2,2,2,1,22
1,1000,2,2,2,1,22
1,1000,2,2,2,1,22
2,1000,2,2,2,1,22
2,1000,2,2,2,2,22
2,1000,2,2,2,2,22
2,1000,2,2,2,2,22
2,1000,2,2,2,2,22
2,1000,2,2,2,2,129
2,1000,2,2,2,2,129
2,1000,2,2,2,2,129
2,1000,2,2,2,2,129
2,1000,2,2,2,2,129
2,1000,2,2,2,2,129
2,1000,2,2,2,2,129
2,1000,2,2,2,2,129
2,1000,2,2,2,2,129
