QUARANTÄNE_BESCHRÄNKUNG,GRUPPENLIMITIERUNG,SCHULE,ARBEIT,LÄDEN,REISEBESCHRÄNKUNG,TESTING
0,1000000,0,0,0,0,1
0,1000000,0,0,0,0,1
0,1000000,0,0,0,0,1
0,1000000,0,0,0,0,1
0,1000000,0,0,0,0,1
0,1000000,0,0,0,0,1
0,1000000,0,0,0,0,1
0,1000000,0,0,0,0,1
0,1000000,0,0,0,0,1
0,1000000,0,0,0,1,1
0,1000000,0,0,0,1,1
0,1000000,0,0,0,1,1
0,1000000,0,0,0,1,1
0,1000000,0,0,0,1,1
0,1000000,0,0,0,1,1
0,1000000,0,0,0,1,1
0,1000000,0,0,0,1,1
0,1000000,0,0,0,1,1
0,1000000,0,0,0,1,1
0,1000000,0,0,0,1,1
0,1000000,0,0,0,1,1
0,1000000,0,0,0,1,1
0,1000000,0,0,0,1,1
0,1000000,0,0,0,1,1
0,1000000,0,0,0,1,1
0,1000000,0,0,0,1,1
0,1000000,0,0,0,1,1
0,1000000,0,0,0,1,1
0,1000000,0,0,0,1,1
0,1000000,0,0,0,1,1
0,1000000,0,0,0,1,1
0,1000000,0,0,0,1,1
0,1000000,0,0,0,1,1
0,1000000,0,0,0,1,1
0,1000000,0,0,0,1,1
0,1000000,0,0,0,1,1
0,1000000,0,0,0,1,1
0,1000000,0,0,0,1,1
0,1000000,0,0,0,1,1
0,1000000,0,0.2,0,1,1
0,1000000,0,0.2,0,1,1
0,1000000,0,0.2,0,1,1
1,1000000,0,0.5,0,1,2.927492447
1,1000000,0,0.6,0,1,4.006042296
1,1000000,0,1,0,1,6.803625378
1,1000000,0,1,0,1,8.314199396
1,1000000,0,1,0,1,9.362537764
1,1000000,1,1,0,1,12.88217523
1,1000000,1,1,1,1,15.26888218
1,250,1,1,1,1.5,23.22054381
1,250,1.5,1,1,1.5,30.29909366
1,250,1.5,1,1,1.5,50.34743202
1,100,1.5,1,1,1.5,62.80362538
1,10,1.5,1,1,1.5,84.48942598
1,10,1.5,1,1.75,1.5,126.326284
1,10,1.5,1,1.75,1.5,166.2054381
1,10,1.5,1,1.75,1.5,231.0966767
1.75,10,1.5,1,2,1.5,313.7854985
1.75,10,1.5,1,2,1.7,418.4773414
1.75,10,1.5,1,2,1.7,551.6102719
1.75,10,1.5,1,2,1.7,689.3776435
1.76,10,1.5,1,2,1.7,888.3504532
1.77,10,2,1,2,1.7,1085.030211
1.78,10,2,1,2,1.7,1428.299094
1.79,10,2,1.75,2,1.7,1751.024169
1.80,10,2,1.75,2,1.7,2074.806647
